"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"156","Blackhead seabream single_stock","Blackhead seabream","openA",1,"CS","illegal_fishing",2,107861386.324019,0
"157","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","SQ",1,"no_CS","illegal_fishing",2,174565834.173771,0
"158","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","FMSY",1,"no_CS","illegal_fishing",2,209939074.60595,0
"159","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","minRec",1,"no_CS","illegal_fishing",2,216150238.747656,0
"160","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","econOpt",1,"no_CS","illegal_fishing",2,213184245.515603,0
"161","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","close",1,"no_CS","illegal_fishing",2,7140997.28023133,0
"162","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","openA",1,"no_CS","illegal_fishing",2,32080015.877227,0
"163","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","SQ",1,"CS","illegal_fishing",2,372870098.23194,0
"164","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","FMSY",1,"CS","illegal_fishing",2,368899857.74354,0
"165","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","minRec",1,"CS","illegal_fishing",2,364940260.468283,0
"166","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","econOpt",1,"CS","illegal_fishing",2,338350827.633462,0
"167","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","close",1,"CS","illegal_fishing",2,7140997.28023133,0
"168","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","openA",1,"CS","illegal_fishing",2,142544772.500599,0
"169","Blue marlin single_stock","Blue marlin","SQ",1,"no_CS","illegal_fishing",2,192191391.285334,0
"170","Blue marlin single_stock","Blue marlin","FMSY",1,"no_CS","illegal_fishing",2,179988832.770081,0
"171","Blue marlin single_stock","Blue marlin","minRec",1,"no_CS","illegal_fishing",2,200440183.805241,0
"172","Blue marlin single_stock","Blue marlin","econOpt",1,"no_CS","illegal_fishing",2,229741019.832606,0
