部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
倉庫,80,90,421,23,10,164,0,9,255,"1,104",790,753,163,"1,409",0,31,139,37,621,65,155,209,"3,407",140,103,7,24,318,64,90,0,43,77,65,333,182,81,23,238,99,51,470,86,6,13,247,84,27,355,274,17,5,125,381,"1,043",515,"1,024",964,"1,583",804,46,30,259,323,106,31,9,5,12,121,188,12,26,0,5,36,3,58,56,127,4,145,"4,958",169,245,470,25,92,77,54,45,25,222,168,77,940,28,32,41,105,19,"29,290",162,"3,844",6,136,707,103,"4,958","34,248","11,668","16,626","45,916","-16,596",30,"29,320"
運輸附帯サービス,0,1,0,1,0,151,0,2,93,75,4,81,72,59,0,4,39,15,505,2,115,146,2,142,36,1,56,1,63,10,0,151,7,9,71,7,33,7,83,71,19,460,120,1,9,152,19,35,25,208,3,1,89,6,0,0,15,0,0,0,0,0,"9,275",520,2,0,0,0,"2,957","12,883","25,396","1,932","7,208",59,303,"2,416",0,0,0,0,0,159,246,0,8,0,0,0,0,0,"1,295",0,0,0,"6,922","1,502",0,368,0,0,"1,623","78,351",86,"39,664",790,0,0,0,"40,540","118,891","58,123","98,663","177,014","-53,776","44,887","123,238"
郵便・信書便,4,5,12,8,2,18,0,9,7,24,1,26,9,2,0,3,5,3,23,4,16,24,13,13,7,0,2,9,2,5,0,7,1,1,4,15,6,2,33,8,2,24,6,0,3,8,10,1,4,11,0,2,10,12,193,322,340,273,128,99,115,54,"1,220","1,286","3,107",97,161,0,57,53,0,65,15,2,29,173,379,"1,897",170,146,31,191,"4,384",481,"1,652",237,190,732,209,362,125,14,209,790,121,468,102,75,253,0,50,"21,483",206,"2,781",0,0,0,0,"2,987","24,470",703,"3,690","25,173","-3,543",147,"21,630"
通信,5,11,17,47,8,205,0,32,36,196,10,152,26,14,0,20,31,18,81,18,102,310,55,45,61,2,5,49,16,21,0,19,5,7,23,55,29,22,208,44,13,176,34,4,18,47,78,7,41,78,6,11,59,4,409,"5,532","3,081","2,368",47,31,184,259,"14,558","9,914","5,336","1,108",952,0,232,"1,012",0,472,58,4,39,246,68,"45,297","3,986",587,550,"1,106","7,863",280,"4,286","1,265",180,"1,499",350,997,284,437,619,"2,580",577,"2,822",552,242,353,0,"4,054","129,257","1,655","147,696",0,0,0,0,"149,351","278,608","8,572","157,923","287,180","-31,122","126,801","256,058"
放送,3,5,3,2,0,0,0,1,2,2,0,4,1,0,0,0,0,0,1,0,2,0,10,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,4,1,0,2,1,0,0,2,0,0,3,0,0,0,0,1,70,32,42,50,0,0,1,16,134,447,133,34,18,0,13,10,0,4,1,0,0,60,2,17,"4,277",3,"3,047",96,7,48,16,70,7,27,33,30,39,"21,515",34,58,144,"2,750",677,169,10,0,50,"34,246",132,"20,626",0,0,0,0,"20,758","55,004","33,730","54,488","88,734","-1,806","52,682","86,928"
情報サービス,50,108,215,97,1,105,0,12,195,300,43,569,434,168,0,38,129,83,727,57,250,583,178,269,428,1,23,194,119,119,0,96,83,82,194,346,155,48,"2,437",142,220,"3,146",480,13,191,469,817,539,444,413,23,29,311,1,"1,423",754,"2,005","2,544","1,592",341,"3,428",311,"15,198","18,166","16,435",932,553,0,71,"1,624",0,181,160,6,276,"2,589",69,"7,015",664,"4,103","1,132","1,968","16,587","1,290","9,565","4,391",934,"1,768",169,"2,528","2,859",544,513,"11,868","1,362",837,22,687,775,0,334,"156,747",42,"9,503",0,"45,675","67,717",79,"123,016","279,763","3,683","126,699","283,446","-127,980","-1,281","155,466"
インターネット附随サービス,1,1,4,8,0,8,0,6,61,18,4,83,19,12,0,1,7,1,459,9,7,108,44,27,19,0,1,12,1,13,0,62,7,2,27,17,56,3,30,44,36,227,18,0,23,6,426,3,69,48,17,2,14,1,92,129,14,10,2,2,24,22,"2,851","6,467","1,400",46,247,0,70,446,0,28,8,2,23,127,34,"4,433",975,"1,749","1,911",520,619,51,362,32,11,131,8,47,190,"3,106",580,"6,697",44,102,44,158,68,0,"1,233","37,187",386,"11,285",0,0,0,0,"11,671","48,858",31,"11,702","48,889","-32,400","-20,698","16,489"
映像・音声・文字情報制作,37,14,23,64,15,86,0,36,86,304,9,412,86,54,0,53,75,47,74,26,138,141,76,52,110,3,3,41,33,46,0,20,11,7,61,109,65,15,266,93,53,705,72,6,16,98,131,43,87,90,22,49,123,20,"1,527",671,"1,314",948,47,10,167,146,"2,539","2,517","1,581",300,158,0,147,"1,202",0,44,47,5,89,261,167,"2,543","19,756","1,563",114,"4,516","6,180","1,899","4,332","1,817",43,"1,350",381,"1,728",546,"13,138",131,"4,101",448,977,545,"2,213",431,0,530,"87,475",910,"21,798",285,0,585,-584,"22,994","110,469","3,808","26,802","114,277","-38,926","-12,124","75,351"
公務,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,240","20,240",0,"18,431","974,874",0,0,0,"993,305","1,013,545",0,"993,305","1,013,545",0,"993,305","1,013,545"
教育,0,0,0,7,2,0,0,1,13,88,8,103,2,15,0,0,5,3,47,1,1,40,3,10,1,0,2,11,20,3,0,3,11,0,1,41,10,12,69,19,33,580,50,9,9,93,143,6,29,82,4,0,5,0,166,10,73,95,82,18,12,11,186,221,90,1,0,0,502,116,71,5,2,1,9,55,5,"1,393",62,630,114,95,150,0,0,79,0,18,4,0,110,74,0,435,23,194,88,22,48,0,13,"6,878",0,"112,453","350,786",0,0,0,"463,239","470,117","45,812","509,051","515,929","-3,097","505,954","512,832"
