部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
米,888,190,679,134,31,0,0,0,0,0,"50,971",9,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"53,542",0,0,0,0,0,-890,-890,"52,652","39,859","38,969","92,511","-21,229","17,740","71,282"
耕種農業（米を除く）,0,"1,712","5,389",32,0,0,0,0,72,339,"1,536","10,484","2,639","18,149",0,45,3,0,59,0,0,101,0,0,"6,179",0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,529,0,"1,400",905,0,0,0,0,0,220,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,34,864,0,778,0,480,884,136,21,0,0,1,"1,119","10,602",6,123,779,0,0,"65,804",872,"54,308",0,0,118,-449,"54,849","120,653","4,382","59,231","125,035","-84,885","-25,654","40,150"
畜産,432,378,"9,844",500,0,0,0,0,"35,592",162,0,"1,548",0,53,0,1,0,0,0,0,0,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,104,503,104,0,72,158,0,0,0,0,0,185,"2,723",0,0,30,0,0,"52,437",0,"4,069",0,0,"1,609",-111,"5,567","58,004","38,831","44,398","96,835","-19,089","25,309","77,746"
農業サービス,"7,173","1,798","2,593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,"11,811",0,"7,161",0,0,0,0,"7,161","18,972","2,522","9,683","21,494",0,"9,683","21,494"
林業,0,15,0,0,"2,286",10,0,0,0,20,0,304,0,7,0,0,"6,505",0,29,0,0,48,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,16,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,0,8,0,18,40,0,0,0,0,0,105,852,0,0,18,0,0,"10,470",54,"3,141",0,0,0,"3,931","7,126","17,596","3,357","10,483","20,953","-4,976","5,507","15,977"
漁業,0,0,0,0,0,"2,072",0,0,15,"64,753",0,"1,155",0,120,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,40,0,186,0,112,289,0,0,0,0,0,393,"3,014",0,2,63,0,0,"72,244",251,"5,636",0,0,0,293,"6,180","78,424","57,071","63,251","135,495","-60,665","2,586","74,830"
石炭・原油・天然ガス,0,0,2,0,1,0,0,0,21,8,0,78,7,33,0,1,0,0,"2,205",2,0,433,"274,135",2,22,0,4,28,182,175,0,492,2,0,39,5,14,1,0,0,2,79,5,0,0,4,0,2,11,49,0,0,1,4,0,0,7,4,"46,349","18,075",0,0,2,4,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,26,7,0,1,3,6,17,0,0,0,9,0,11,1,0,0,0,"342,579",0,0,0,0,0,398,398,"342,977",0,398,"342,977","-342,977","-342,579",0
その他の鉱業,0,0,0,0,4,0,0,6,0,0,0,0,0,10,0,0,0,0,466,0,0,440,865,0,14,0,309,"4,461",571,668,0,0,6,0,"2,960",11,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,78,0,"1,729",101,"11,483","8,696",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,-5,-13,0,2,6,0,17,"32,902",-93,-120,0,0,-122,-370,-705,"32,197","5,722","5,017","37,919","-15,471","-10,454","22,448"
食肉・畜産食料品,0,0,34,0,0,0,0,0,"15,339",392,0,"14,163",640,"1,388",0,9,0,0,238,0,0,231,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,69,"1,650",0,703,0,431,858,0,0,0,0,0,"1,607","26,560",0,2,298,0,0,"64,985","1,043","64,315",0,0,0,-174,"65,184","130,169","73,770","138,954","203,939","-111,537","27,417","92,402"
水産食料品,0,0,0,0,0,"2,292",0,0,37,"13,113",0,"3,243",0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,51,289,0,432,0,379,776,0,0,0,0,0,859,"11,892",0,1,130,0,0,"33,825","1,054","57,927",0,0,0,240,"59,221","93,046","161,631","220,852","254,677","-67,656","153,196","187,021"
精穀・製粉,0,0,144,0,74,0,0,0,0,33,151,"14,687",801,"2,640",0,0,172,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,42,251,0,276,0,155,492,44,0,0,0,0,592,"5,214",0,0,94,0,0,"25,871",59,"18,985",0,0,0,417,"19,461","45,332","46,373","65,834","91,705","-19,293","46,541","72,412"
その他の食料品,0,0,887,0,179,179,0,0,"1,850","4,891",9,"32,452","2,248","13,055",0,0,0,0,629,1,0,690,2,1,0,0,1,0,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,160,876,0,"1,435",0,767,"1,597",48,0,0,0,0,"1,877","33,157",0,0,324,0,0,"97,368","5,102","196,479",0,0,0,-553,"201,028","298,396","163,689","364,717","462,085","-237,177","127,540","224,908"
飲料,0,0,19,1,0,"1,090",0,0,256,218,0,354,"1,972",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,49,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,26,46,0,356,0,190,417,0,0,0,0,3,"2,385","35,150",0,0,216,0,251,"43,186","4,889","78,738",0,0,0,647,"84,274","127,460","68,748","153,022","196,208","-103,994","49,028","92,214"
飼料・有機質肥料（別掲を除く。）,733,339,"25,914",437,140,"2,748",0,0,-2,0,0,0,0,"3,035",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,"1,192",29,0,8,4,0,0,0,0,0,0,0,0,65,0,0,0,"34,995",0,"2,433",0,0,0,223,"2,656","37,651","39,414","42,070","77,065","-11,539","30,531","65,526"
たばこ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,951","66,617",0,0,0,552,"70,120","70,120",0,"70,120","70,120","-70,120",0,0
繊維製品,504,176,50,112,29,"1,646",0,95,87,201,24,394,31,1,0,"4,641",106,183,420,48,54,84,10,75,"1,582",51,42,63,65,79,0,33,23,12,122,124,55,26,820,71,209,"1,382",131,22,10,168,232,22,722,171,44,5,312,24,"2,943","1,731",992,882,15,14,90,155,"4,024","4,163",664,32,3,0,119,491,116,243,48,1,35,214,37,110,74,217,15,135,"3,158",53,359,"1,554",227,853,512,"2,157","1,006",27,226,"1,785","1,007",308,530,747,674,495,41,"48,875","1,915","69,303",0,36,"1,624","2,919","75,797","124,672","11,991","87,788","136,663","-117,946","-30,158","18,717"
木材・木製品,0,2,295,3,78,121,0,17,84,241,0,47,28,163,0,5,"14,398","2,822","5,481",29,3,10,0,12,1,0,44,4,329,38,0,1,2,0,182,191,33,2,13,26,2,45,5,2,1,12,6,0,15,48,53,4,"2,691",0,"55,795","5,897","1,165","2,362",365,0,0,0,"1,193",362,40,0,0,2,0,0,0,11,0,0,15,252,1,11,8,2,1,10,40,11,34,0,26,5,4,9,11,0,8,258,23,405,28,57,83,0,2,"96,085",93,679,42,29,288,-53,"1,078","97,163","54,858","55,936","152,021","-86,358","-30,422","65,663"
家具・装備品,0,0,0,0,2,29,0,35,24,34,4,138,15,1,0,12,31,540,202,17,28,65,4,62,79,0,3,43,69,35,0,16,19,0,20,40,7,7,121,31,44,403,47,4,10,68,140,47,64,50,59,2,319,1,"8,941","9,342",49,65,95,14,258,233,"1,442",957,"1,034",103,235,143,24,167,0,50,19,0,68,278,7,689,59,582,49,141,875,925,"1,123","1,239",37,"1,198",609,"1,022",411,41,55,"1,675",304,"1,177",84,597,365,0,25,"39,797",362,"3,991",3,585,"3,162",-537,"7,566","47,363","14,789","22,355","62,152","-43,538","-21,183","18,614"
パルプ・紙・板紙・加工紙,0,5,0,4,0,13,0,0,3,42,0,57,30,8,0,61,925,472,"58,992","5,796","8,916",77,0,270,144,1,19,0,209,159,0,1,0,6,116,27,27,7,47,13,39,"2,343",360,9,2,347,117,33,0,70,0,0,947,2,"3,394","1,039",1,0,0,0,0,14,3,-861,210,0,0,77,0,106,0,2,3,2,120,241,0,31,0,945,4,"5,366",166,890,"1,261",0,84,178,150,165,0,0,55,"3,124",101,0,50,85,8,"3,097",39,"100,866",-659,"-1,935",0,0,0,539,"-2,055","98,811","154,881","152,826","253,692","-84,059","68,767","169,633"
紙加工品,265,"1,722",665,852,60,76,0,0,"1,150","3,207",134,"3,008","1,916",93,0,58,67,213,316,50,73,927,1,158,23,10,32,6,344,86,0,0,0,1,17,7,88,9,89,237,32,"2,013",109,15,12,344,33,15,14,85,0,0,129,17,16,865,0,0,0,0,5,44,"6,671","6,022",594,9,0,0,18,184,0,27,13,0,49,307,8,65,28,163,7,40,158,290,634,657,112,923,724,151,3,41,1,"1,357",67,"1,338",42,58,136,"7,875",33,"48,513","1,452","4,162",0,0,0,138,"5,752","54,265","10,284","16,036","64,549","-46,447","-30,411","18,102"
印刷・製版・製本,0,5,0,7,0,33,0,7,"1,046",834,598,"2,684",81,11,0,72,71,46,25,175,"3,364",224,10,26,56,2,24,6,24,4,0,2,35,0,42,36,35,14,133,471,204,"1,339",49,48,23,96,320,75,332,95,9,34,503,42,476,349,353,189,188,146,283,260,"4,210","6,782","6,690",71,7,0,106,634,0,47,17,3,31,938,155,"1,807",214,"1,108",141,"5,691","7,381","2,923","6,195","1,651",247,"1,323",306,"2,752",319,"3,054",289,"3,112",49,226,183,784,375,0,5,"75,442",292,841,0,0,0,-713,420,"75,862","45,266","45,686","121,128","-53,351","-7,665","67,777"
化学製品,"8,229","3,560",769,863,10,676,0,368,892,"1,375",3,"2,402",414,389,0,861,"3,747",453,"6,899",422,"2,131","35,234","1,197","14,584","15,211",26,249,654,262,"2,436",0,178,135,7,"1,254",792,327,97,973,"1,852",650,"6,662",504,77,57,"3,439",652,187,"1,336","2,038",259,83,"3,347",11,"4,909","2,979","1,680","1,827",49,122,876,"1,162",7,10,10,4,4,41,7,195,18,7,5,0,27,79,18,0,43,126,0,633,927,238,"5,503","150,574","1,618","1,623","1,231",184,847,363,"1,671","2,744",319,"1,157","2,576",372,890,237,598,"317,743","2,996","37,882",0,0,0,"-5,251","35,627","353,370","97,205","132,832","450,575","-335,076","-202,244","115,499"
石油・石炭製品,516,528,88,106,161,"4,076",0,708,228,650,37,"1,190",122,328,0,31,125,38,691,40,115,"22,149","30,960",73,431,2,159,530,623,911,0,"1,514",306,28,241,346,131,17,140,61,68,411,44,4,1,159,59,6,142,641,18,7,38,108,"2,241","1,285","21,189","10,779","8,565","1,164","1,030",887,"1,098","1,925",186,374,164,1,323,"25,503","69,834","2,759","6,553",38,39,184,104,182,83,104,4,105,"11,744",745,"1,989","1,502",109,268,536,263,521,81,"1,142","1,448",249,"1,956",722,965,370,0,"1,588","253,007",275,"72,015",0,0,0,"-9,209","63,081","316,088","424,656","487,737","740,744","-257,843","229,894","482,901"
プラスチック製品,39,435,186,79,191,"1,172",0,1,581,"4,057",177,"3,713","2,201",46,0,228,443,483,533,269,"3,244","1,647",57,"18,099","1,428",105,165,53,27,45,0,3,7,0,960,363,70,115,"4,290","3,019",920,"8,653","1,022",192,102,"5,922","2,006",709,"5,780","5,342",54,15,"5,079",35,"9,065","6,455","6,735","6,506",0,0,"3,626",150,"1,348","7,983","1,132",132,274,389,0,161,8,8,21,3,107,125,0,6,70,"1,432",1,226,672,114,"2,446",850,2,23,48,194,112,332,"1,696","1,143",179,524,288,637,112,941,298,"140,936",297,"5,263",40,0,-7,-10,"5,583","146,519","60,737","66,320","207,256","-134,695","-68,375","72,561"
ゴム製品,53,75,39,129,11,74,0,81,27,81,1,96,15,0,0,46,16,18,1,10,38,65,14,53,"2,304",2,2,35,8,51,0,82,2,3,13,352,20,70,823,858,259,512,228,30,19,119,790,48,"3,489","3,844",126,85,313,81,224,104,"2,265","2,429",0,0,122,"1,036",99,122,5,0,0,0,11,774,"1,424",106,0,1,19,3,7,52,2,0,6,3,"1,315",30,160,773,48,218,269,447,140,1,"10,985",49,130,67,44,202,97,261,24,"39,585",142,"6,561",0,0,0,-225,"6,478","46,063","60,220","66,698","106,283","-34,525","32,173","71,758"
なめし革・革製品・毛皮,4,4,0,0,2,24,0,74,1,4,1,12,0,0,0,18,7,12,9,3,6,14,13,8,5,191,0,5,11,3,0,4,6,0,2,21,1,0,151,101,12,138,4,0,3,1,41,1,25,18,0,0,101,1,0,6,6,35,9,150,12,13,74,102,46,0,0,0,16,16,0,0,0,0,0,5,13,804,22,1,28,3,267,29,249,21,12,13,8,145,195,2,3,77,47,7,36,22,137,0,90,"3,783",659,"16,924",0,0,0,-1,"17,582","21,365","1,428","19,010","22,793","-21,335","-2,325","1,458"
ガラス・ガラス製品,0,0,0,0,10,0,0,0,48,156,0,120,"1,182",0,0,16,2,268,1,0,0,375,0,250,17,0,228,1,0,18,0,0,0,0,"1,173",60,26,5,85,"1,451",59,"2,397",10,10,5,741,37,2,"2,746",3,7,103,747,0,"2,920",761,32,41,0,0,0,7,21,122,3,0,0,0,0,8,0,2,1,0,0,0,0,0,0,0,0,1,72,205,776,242,135,33,43,25,0,2,"1,007",7,77,199,9,57,8,0,106,"19,281",103,339,0,0,0,-114,328,"19,609","4,440","4,768","24,049","-18,281","-13,513","5,768"
セメント・セメント製品,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,"11,300",0,14,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,"23,713","13,693","42,923","21,466",0,0,0,12,0,0,0,0,7,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,"113,348",0,17,0,0,0,-852,-835,"112,513","9,101","8,266","121,614","-45,083","-36,817","76,531"
陶磁器,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,25,0,0,0,4,0,4,0,0,0,4,86,0,0,0,0,0,0,0,1,0,6,21,248,"12,339",283,0,6,69,137,0,0,25,0,0,28,1,"4,339",321,182,432,0,0,0,23,42,75,1,0,0,0,0,8,0,4,0,0,0,1,0,0,0,0,0,0,44,48,3,124,12,151,124,15,0,0,0,7,107,533,0,1,21,0,95,"20,021",48,281,0,0,0,77,406,"20,427","13,799","14,205","34,226","-20,388","-6,183","13,838"
その他の窯業・土石製品,171,152,103,70,0,4,0,0,0,0,0,20,5,147,0,0,9,39,318,0,1,235,193,10,15,0,74,"1,099",331,775,0,33,281,0,110,244,108,284,"1,120",76,453,"1,220",176,6,24,995,137,24,414,340,16,2,107,0,"7,268","6,289","4,366","6,987",5,3,432,0,80,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,506,52,29,0,0,1,0,0,0,43,1,4,36,3,79,64,127,129,"36,544",52,"1,922",0,0,0,-699,"1,275","37,819","22,757","24,032","60,576","-37,037","-13,005","23,539"
銑鉄・粗鋼,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"69,281","2,157",-113,0,-53,-77,-18,-155,-35,0,-2,-11,-2,0,-68,-4,0,-31,-33,-18,-1,-1,0,0,-156,-62,-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"70,567",0,-678,0,"2,205",0,-2,"1,525","72,092",0,"1,525","72,092","-72,092","-70,567",0
鋼材,0,3,0,0,0,6,0,22,0,0,0,0,0,0,0,5,30,240,0,0,0,0,0,104,133,0,0,716,0,40,0,"7,924","1,973","13,476",75,"13,948","3,731","1,097","9,685",734,2,"2,336","1,723",106,47,"1,119",543,46,"8,653","4,533","1,249",97,200,0,"15,695","5,402","13,952","17,666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,10,0,282,"127,725",0,0,0,0,0,"-2,805","-2,805","124,920","101,983","99,178","226,903","-118,032","-18,854","108,871"
鋳鍛造品（鉄）,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,31,5,0,0,150,0,0,837,341,396,"3,532",356,0,173,460,4,27,203,42,25,110,"5,592",147,64,65,0,240,100,880,"5,641",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,11,0,0,2,1,69,"19,536",0,1,0,0,0,40,41,"19,577","17,440","17,481","37,017","-17,941",-460,"19,076"
その他の鉄鋼製品,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,334,0,0,0,10,0,4,0,0,0,147,16,42,0,0,17,0,25,"10,309","3,483",327,"2,219",206,9,"1,700",586,98,0,843,133,17,"1,253","1,438",400,85,171,0,209,262,217,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,53,"24,812",0,0,0,0,0,-172,-172,"24,640","14,454","14,282","39,094","-16,055","-1,773","23,039"
非鉄金属,0,0,0,0,0,0,0,1,42,76,0,605,287,0,0,0,58,143,2,5,131,810,6,179,192,2,15,3,463,217,0,89,55,-5,"30,234","10,161","2,848",837,"5,834","1,468","1,243","24,709","3,255",224,264,"12,643","3,173",327,"1,574","11,831",200,33,"2,063",0,"5,453","3,513","2,811","11,388",42,0,29,1,17,9,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,50,233,0,64,"1,242",0,20,64,17,0,0,527,28,65,151,58,0,42,24,312,"142,462",23,"3,304",0,0,0,"-1,222","2,105","144,567","56,537","58,642","201,104","-135,950","-77,308","65,154"
建設用・建築用金属製品,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,"1,096",57,14,20,0,0,18,0,0,0,0,6,0,0,0,100,13,699,0,"59,636","37,613","18,498","36,314",0,0,0,0,0,0,0,0,20,6,2,0,0,22,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,28,0,43,0,0,0,0,0,0,0,39,"154,289",0,988,22,14,480,366,"1,870","156,159","64,718","66,588","220,877","-120,368","-53,780","100,509"
その他の金属製品,195,59,65,1,10,99,0,529,283,"1,113",1,582,"4,015",86,0,79,497,708,192,20,41,812,194,135,"1,231",24,67,530,262,272,0,5,283,1,188,"5,508","2,202",421,"7,780","1,773",459,"10,644","1,237",122,250,"1,323","2,012",604,966,"2,700",368,30,"1,566",3,"15,172","28,335","5,033","3,244",43,55,83,13,"4,201","1,607",48,10,57,358,22,563,0,91,2,1,77,153,0,159,5,34,6,31,"4,905",77,70,180,1,85,92,194,207,1,"1,197",181,95,"1,196",325,17,519,9,437,"121,738",522,"3,457",0,784,"1,991","-1,992","4,762","126,500","30,668","35,430","157,168","-115,401","-79,971","41,767"
はん用機械,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,4,106,0,0,0,3,0,35,0,0,54,0,71,46,0,0,46,0,0,66,26,"2,612","8,362",332,70,"1,028",317,184,33,24,235,15,96,"2,153",335,56,26,0,"6,920",286,"4,758","4,035",0,0,938,0,4,4,0,0,0,0,18,2,0,0,2,0,4,38,1,0,1,0,0,2,378,0,0,0,0,0,0,0,1,0,"10,604",77,0,0,0,0,9,0,0,"44,486",0,260,0,"6,798","4,213",47,"11,318","55,804","11,755","23,073","67,559","-50,286","-27,213","17,273"
生産用機械,0,0,0,0,3,0,0,55,0,0,0,0,0,0,0,0,2,7,0,0,0,0,8,237,0,0,4,0,62,44,0,0,41,11,8,5,23,146,"28,536",46,161,822,200,7,33,46,99,18,77,230,48,10,7,0,19,46,76,7,0,1,22,0,4,2,0,0,0,0,1,7,0,7,1,0,2,14,1,1,0,0,0,0,17,0,0,0,0,0,0,0,21,0,"15,707",6,0,0,0,0,5,0,0,"46,963",0,53,0,"4,310","119,374","1,975","125,712","172,675","156,396","282,108","329,071","-87,483","194,625","241,588"
業務用機械,1,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,39,728,"5,540",1,0,158,0,8,0,28,35,42,56,22,0,45,0,282,0,35,0,0,0,9,2,"1,965",259,5,0,0,0,0,1,0,0,0,0,3,12,1,3,2,0,2,87,"3,677",0,0,"10,104",241,414,385,0,501,0,"5,148",161,4,0,1,528,48,628,0,"31,288",40,"1,257",1,"19,256","30,293","1,211","52,058","83,346","61,229","113,287","144,575","-68,622","44,665","75,953"
電子デバイス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,647,"10,532","5,254","17,400","2,614",732,"2,463","5,631","8,784","5,202",0,"1,798",0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,"4,344",0,0,0,0,0,0,0,0,"65,494",0,33,0,0,0,11,44,"65,538","38,118","38,162","103,656","-64,153","-25,991","39,503"
その他の電子部品,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,7,69,"2,361","3,832","4,929","73,437","1,548",136,"1,184",598,"9,231","1,555",134,"1,716",13,2,53,0,437,67,38,4,1,0,2,0,14,33,21,0,0,0,1,0,0,0,0,0,0,1,0,68,254,173,6,302,"2,547",17,"1,035",0,0,4,0,0,2,0,"11,526",28,0,0,0,0,13,914,0,"118,402",9,"2,665",0,0,0,-540,"2,134","120,536","359,113","361,247","479,649","-116,780","244,467","362,869"
産業用電気機器,0,0,2,0,0,58,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,204,0,104,"3,260",641,0,391,"4,497",112,93,57,"1,019",195,"5,204","11,224",159,18,3,0,"1,673","1,362","1,608","2,686",0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"4,925",0,0,0,0,0,3,0,6,"39,517",0,146,0,"3,368","22,045",-828,"24,731","64,248","29,374","54,105","93,622","-49,969","4,136","43,653"
民生用電気機器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,3,5,1,0,"3,037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,40,537,0,0,0,0,0,0,0,26,0,"1,836",17,0,0,0,29,2,0,0,"5,867",977,"26,946",0,159,760,125,"28,967","34,834",518,"29,485","35,352","-30,739","-1,254","4,613"
電子応用装置・電気計測器,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,600,462,1,0,305,0,297,0,14,4,5,0,56,1,0,0,102,16,409,394,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"1,066",0,0,45,0,0,0,0,0,0,699,42,0,0,0,0,0,0,0,"4,534",0,1,0,"5,564","5,078",249,"10,892","15,426","6,275","17,167","21,701","-10,724","6,443","10,977"
