"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Dolphinfishes nei single_stock","Japan","Dolphinfishes nei","Coryphaenidae",50,1,0.188,0.188,0.188,0.0363989496633346,0.0363989496633346,0.0363989496633346,621145.368678161,621145.368678161,621145.368678161,0.461265700266559,0.461265700266559,0.461265700266559,2.04470339176156,2.04470339176156,2.04470339176156,1,1,1,1,0,0,0,1331.67286,1422.1949245,1480.519044,1331.67286,1422.1949245,1480.519044,1,1.3,1.5,165432485.91668,410789834.907806,750526630.391515,165432485.91668,410789834.907806,750526630.391515,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Dotted gizzard shad single_stock","Japan","Dotted gizzard shad","Konosirus punctatus",50,1,0.188,0.188,0.188,0.0413276983411327,0.0413276983411327,0.0413276983411327,290523.428174368,290523.428174368,290523.428174368,1.4749134335829,1.4749134335829,1.4749134335829,0.553432758267474,0.553432758267474,0.553432758267474,1,1,1,1,0,0,0,1299.296666,1674.43187207692,2179.525109,1299.296666,1674.43187207692,2179.525109,1,1.3,1.5,75495224.3243693,217756057.299621,484982100.694365,75495224.3243693,217756057.299621,484982100.694365,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Flyingfishes nei single_stock","Japan","Flyingfishes nei","Exocoetidae",50,1,0.188,0.188,0.188,0.0343487023628091,0.0343487023628091,0.0343487023628091,485223.450339243,485223.450339243,485223.450339243,0.508554805354156,0.508554805354156,0.508554805354156,2.38512267252693,2.38512267252693,2.38512267252693,1,1,1,1,0,0,0,2145.140145,2536.9258465,2946.979899,2145.140145,2536.9258465,2946.979899,1,1.3,1.5,208174460.523625,582465789.207068,1201343134.58191,208174460.523625,582465789.207068,1201343134.58191,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Frigate and bullet tunas single_stock","Japan","Frigate and bullet tunas","Auxis thazard, A. rochei",50,1,0.188,0.188,0.188,0.0407642950287,0.0407642950287,0.0407642950287,1076920.42073301,1076920.42073301,1076920.42073301,0.911375712736815,0.911375712736815,0.911375712736815,0.972148872111198,0.972148872111198,0.972148872111198,1,1,1,1,0,0,0,732.0826787,1309.29939464167,2700.821558,732.0826787,1309.29939464167,2700.821558,1,1.3,1.5,157678957.271391,633771297.035581,2243069956.91629,157678957.271391,633771297.035581,2243069956.91629,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese amberjack single_stock","Japan","Japanese amberjack","Seriola quinqueradiata",50,1,0.188,0.188,0.188,0.0378987331855559,0.0378987331855559,0.0378987331855559,3260321.02339809,3260321.02339809,3260321.02339809,0.994545383048452,0.994545383048452,0.994545383048452,2.5054103512858,2.5054103512858,2.5054103512858,1,1,1,1,0,0,0,3022.700079,3765.81834784615,5002.932677,3022.700079,3765.81834784615,5002.932677,1,1.3,1.5,1970994522.99815,5640612838.12048,13045957501.5507,1970994522.99815,5640612838.12048,13045957501.5507,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese anchovy pacific_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0396599675560068,0.0396599675560068,0.0396599675560068,7139676.43831558,7139676.43831558,7139676.43831558,0.635949009145094,0.635949009145094,0.635949009145094,0.929960260083591,0.929960260083591,0.929960260083591,1,1,1,1,0,0,0,471.4266016,545.689185038462,628.2333862,471.4266016,545.689185038462,628.2333862,1,1.3,1.5,673166679.96774,1765680573.37115,3506926376.60717,673166679.96774,1765680573.37115,3506926376.60717,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese anchovy seto_inland_sea_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0325775482617669,0.0325775482617669,0.0325775482617669,2876979.05238949,2876979.05238949,2876979.05238949,0.370468925449311,0.370468925449311,0.370468925449311,2.8325561088241,2.8325561088241,2.8325561088241,1,1,1,1,0,0,0,1083.89128,1339.29878407692,2251.728121,1083.89128,1339.29878407692,2251.728121,1,1.3,1.5,623666501.525526,1852390833.6671,5588519052.30678,623666501.525526,1852390833.6671,5588519052.30678,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese anchovy tsushima_current_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0384840543782451,0.0384840543782451,0.0384840543782451,3439346.09527652,3439346.09527652,3439346.09527652,0.327595008043744,0.327595008043744,0.327595008043744,3.59891456643504,3.59891456643504,3.59891456643504,1,1,1,1,0,0,0,565.4916809,1007.01664893846,1531.151569,565.4916809,1007.01664893846,1531.151569,1,1.3,1.5,388984320.922954,1583879920.85104,4179813815.74936,388984320.922954,1583879920.85104,4179813815.74936,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese carpet shell single_stock","Japan","Japanese carpet shell","Ruditapes philippinarum",50,1,0.188,0.188,0.188,0.0373087345040736,0.0373087345040736,0.0373087345040736,3306416.36921612,3306416.36921612,3306416.36921612,1.14947281138361,1.14947281138361,1.14947281138361,0.243526112395042,0.243526112395042,0.243526112395042,1,1,1,1,0,0,0,4545.059293,5397.02324130769,6358.127778,4545.059293,5397.02324130769,6358.127778,1,1.3,1.5,3005571689.08662,8236878183.82859,16946687371.8313,3005571689.08662,8236878183.82859,16946687371.8313,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Japanese flying squid winter_stock","Japan","Japanese flying squid","Todarodes pacificus",50,1,0.188,0.188,0.188,0.0428809372380511,0.0428809372380511,0.0428809372380511,10866597.5498721,10866597.5498721,10866597.5498721,1.20753216821261,1.20753216821261,1.20753216821261,0.574198315992792,0.574198315992792,0.574198315992792,1,1,1,1,0,0,0,2152.476894,2629.019657,3193.953113,2152.476894,2629.019657,3193.953113,1,1.3,1.5,4678020028.49933,12647424736.5685,26097161182.0386,4678020028.49933,12647424736.5685,26097161182.0386,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
