"","alphabet_pref","fish_stock","harvest_FMSY","rank_number"
"122","toyama","japanese_sardine_tsushima_current_stock",3954.05130061106,2
"123","toyama","japanese_common_squid_winter_stock",2506.9533625106,3
"124","toyama","japanese_jack_mackerel_tsushima_current_stock",2052.00730347511,4
"125","toyama","auxis_single_stock",1697.09774266677,5
"126","toyama","yellowtail_single_stock",1311.2213744451,6
"127","toyama","bigeye_tuna_single_stock",1223.11033595223,7
"128","toyama","japanese_anchovy_tsushima_current_stock",718.744032942014,8
"129","toyama","japanese_spanish_mackerel_east_china_sea_stock",612.041270184085,9
"130","toyama","pollock_sea_of_japan_north_stock",514.484244922985,10
"131","ishikawa","japanese_sardine_tsushima_current_stock",24234.2624468636,1
"132","ishikawa","japanese_common_squid_winter_stock",16925.7040386079,2
"133","ishikawa","japanese_jack_mackerel_tsushima_current_stock",5765.41928809187,3
"134","ishikawa","mackerel_tsushima_current_stock",5548.93646330422,4
"135","ishikawa","yellowtail_single_stock",4836.24050595333,5
"136","ishikawa","japanese_anchovy_tsushima_current_stock",4254.89320758077,6
"137","ishikawa","righteye_flounder_sea_of_japan_stock",2861.84642123519,7
"138","ishikawa","sea_cucumber_single_stock",1927.47727588447,8
"139","ishikawa","pollock_sea_of_japan_north_stock",1733.58821658832,9
"140","ishikawa","sandfish_sea_of_japan_west_stock",1220.82312628715,10
"141","fukui","japanese_common_squid_winter_stock",1958.48676247378,1
"142","fukui","righteye_flounder_sea_of_japan_stock",1878.85910452606,2
"143","fukui","yellowtail_single_stock",1447.32778195893,3
"144","fukui","japanese_spanish_mackerel_east_china_sea_stock",1334.44736950871,4
"145","fukui","japanese_jack_mackerel_tsushima_current_stock",1034.09540399822,5
"146","fukui","sandfish_sea_of_japan_west_stock",297.054189250296,6
"147","fukui","octopus_single_stock",278.670931938035,7
"148","fukui","mackerel_tsushima_current_stock",249.270828639037,8
"149","fukui","sea_cucumber_single_stock",239.207855060728,9
"150","fukui","flyingfish_single_stock",197.291191432236,10
"151","shizuoka","mackerel_pacific_stock",41647.7291022121,1
"152","shizuoka","japanese_sardine_pacific_stock",24120.6393491334,2
"153","shizuoka","skipjack_single_stock",18189.7171128444,3
"154","shizuoka","yellowfin_tuna_single_stock",7764.6414179958,4
"155","shizuoka","whitebait_single_stock",7441.89449213608,5
"156","shizuoka","manila_clam_single_stock",5343.69774008447,6
"157","shizuoka","bigeye_tuna_single_stock",3868.69363624368,7
"158","shizuoka","round_herring_pacific_stock",2159.85206012197,8
"159","shizuoka","japanese_jack_mackerel_pacific_stock",1564.24331262202,9
"160","shizuoka","amberstripe_scad_single_stock",1448.56812280051,10
"161","aichi","manila_clam_single_stock",20267.5395576198,1
"162","aichi","japanese_sardine_pacific_stock",8562.74433975792,2
