X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
73,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,31,61294.18538,1850.652943,0,0,57243691.05,0,0.996855073,0.828466244,0,0,0.828466244,1850.652943,57243691.05
74,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,31,70046.72597,2086.401591,0,0,70250289.56,0,1.139201601,0.817295631,0,0,0.817295631,2086.401591,70250289.56
75,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,31,54712.22832,1993.954712,0,0,53798687.55,0,0.889809727,1,0,0,1,1993.954712,53798687.55
76,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,32,61684.39689,1862.434584,0,0,57859219.52,0,1.00320126,0.828466244,0,0,0.828466244,1862.434584,57859219.52
77,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,32,70176.32445,2103.358361,0,0,70820243.8,0,1.14130932,0.82241641,0,0,0.82241641,2103.358361,70820243.8
78,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,32,54942.4817,2002.34616,0,0,54237096.34,0,0.893554442,1,0,0,1,2002.34616,54237096.34
79,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,33,62062.82631,1873.860488,0,0,58456162.64,0,1.009355828,0.828466244,0,0,0.828466244,1873.860488,58456162.64
80,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,33,70288.22053,2118.037848,0,0,71313903.27,0,1.143129137,0.82683772,0,0,0.82683772,2118.037848,71313903.27
81,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,33,55165.47431,2010.472993,0,0,54661680.44,0,0.897181072,1,0,0,1,2010.472993,54661680.44
82,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,34,62429.72723,1884.938313,0,0,59034920.46,0,1.015322904,0.828466244,0,0,0.828466244,1884.938313,59034920.46
83,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,34,70384.7848,2130.734963,0,0,71741084.05,0,1.144699605,0.83065323,0,0,0.83065323,2130.734963,71741084.05
84,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,34,55381.39613,2018.342136,0,0,55072801.55,0,0.900692706,1,0,0,1,2018.342136,55072801.55
85,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,35,62785.35531,1895.675778,0,0,59595896.24,0,1.021106644,0.828466244,0,0,0.828466244,1895.675778,59595896.24
86,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,35,70468.08265,2141.709267,0,0,72110442.35,0,1.146054316,0.833944548,0,0,0.833944548,2141.709267,72110442.35
87,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,35,55590.43492,2025.96043,0,0,55470817.18,0,0.904092398,1,0,0,1,2025.96043,55470817.18
88,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,36,63129.96753,1906.080641,0,0,60139495.36,0,1.026711229,0.828466244,0,0,0.828466244,1906.080641,60139495.36
89,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,36,70539.91038,2151.188454,0,0,72429584.18,0,1.147222483,0.836782652,0,0,0.836782652,2151.188454,72429584.18
90,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,36,55792.77604,2033.334632,0,0,55856080.27,0,0.907383164,1,0,0,1,2033.334632,55856080.27
91,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,37,63463.82159,1916.160684,0,0,60666124.3,0,1.032140849,0.828466244,0,0,0.828466244,1916.160684,60666124.3
92,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,37,70601.82786,2159.3717,0,0,72705172.38,0,1.148229475,0.839229175,0,0,0.839229175,2159.3717,72705172.38
93,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,37,55988.60228,2040.471404,0,0,56228938.85,0,0.910567974,1,0,0,1,2040.471404,56228938.85
94,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,38,63787.17528,1925.923689,0,0,61176189.72,0,1.037399696,0.828466244,0,0,0.828466244,1925.923689,61176189.72
95,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,38,70655.18791,2166.432821,0,0,72943028.45,0,1.149097293,0.841337572,0,0,0.841337572,2166.432821,72943028.45
96,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,38,56178.0937,2047.377306,0,0,56589735.75,0,0.913649759,1,0,0,1,2047.377306,56589735.75
97,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,39,64100.28592,1935.377426,0,0,61670097.53,0,1.042491956,0.828466244,0,0,0.828466244,1935.377426,61670097.53
98,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,39,70701.16243,2172.523193,0,0,73148227.54,0,1.149844998,0.843154147,0,0,0.843154147,2172.523193,73148227.54
99,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,39,56361.42749,2054.058797,0,0,56938808.35,0,0.916631399,1,0,0,1,2054.058797,56938808.35
