"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Dolphinfishes nei single_stock","Japan","Dolphinfishes nei","Coryphaenidae",50,1,0.188,0.188,0.188,0.0402761789155396,0.0402761789155396,0.0402761789155396,576514.896689437,576514.896689437,576514.896689437,0.4635945571992,0.4635945571992,0.4635945571992,1.98091781917764,1.98091781917764,1.98091781917764,1,1,1,1,0,0,0,1329.28938953417,1416.80568223044,1473.16441532056,1329.28938953417,1416.80568223044,1473.16441532056,1,1.3,1.5,153271027.015531,368468454.844378,658932465.401675,153271027.015531,368468454.844378,658932465.401675,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Dotted gizzard shad single_stock","Japan","Dotted gizzard shad","Konosirus punctatus",50,1,0.188,0.188,0.188,0.0407767841265572,0.0407767841265572,0.0407767841265572,290767.462865505,290767.462865505,290767.462865505,1.46974412057232,1.46974412057232,1.46974412057232,0.562410294615586,0.562410294615586,0.562410294615586,1,1,1,1,0,0,0,1299.29666607368,1674.43187207964,2179.52510896219,1299.29666607368,1674.43187207964,2179.52510896219,1,1.3,1.5,75558639.0207706,218818161.807889,488657400.673659,75558639.0207706,218818161.807889,488657400.673659,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Flyingfishes nei single_stock","Japan","Flyingfishes nei","Exocoetidae",50,1,0.188,0.188,0.188,0.0376479554788307,0.0376479554788307,0.0376479554788307,454606.289890731,454606.289890731,454606.289890731,0.505691057417352,0.505691057417352,0.505691057417352,2.33581524898015,2.33581524898015,2.33581524898015,1,1,1,1,0,0,0,2137.85843470999,2528.54554752697,2930.22171421775,2137.85843470999,2528.54554752697,2930.22171421775,1,1.3,1.5,194376778.263023,529148745.1618,1068977360.24873,194376778.263023,529148745.1618,1068977360.24873,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Frigate and bullet tunas single_stock","Japan","Frigate and bullet tunas","Auxis thazard, A. rochei",50,1,0.188,0.188,0.188,0.0414062935225514,0.0414062935225514,0.0414062935225514,1065809.02965902,1065809.02965902,1065809.02965902,0.911641874469584,0.911641874469584,0.911641874469584,0.966771320861425,0.966771320861425,0.966771320861425,1,1,1,1,0,0,0,705.602771083985,1329.94270360278,2715.51543565073,705.602771083985,1329.94270360278,2715.51543565073,1,1.3,1.5,150407560.954747,634141809.548214,2214633044.82705,150407560.954747,634141809.548214,2214633044.82705,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese amberjack single_stock","Japan","Japanese amberjack","Seriola quinqueradiata",50,1,0.188,0.188,0.188,0.0420301450066168,0.0420301450066168,0.0420301450066168,3008803.86489257,3008803.86489257,3008803.86489257,0.993267339539118,0.993267339539118,0.993267339539118,2.45113713080863,2.45113713080863,2.45113713080863,1,1,1,1,0,0,0,2981.66397017001,3818.52535030082,5075.41788403077,2981.66397017001,3818.52535030082,5075.41788403077,1,1.3,1.5,1794248415.45169,5116998126.03986,11598144697.8652,1794248415.45169,5116998126.03986,11598144697.8652,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese anchovy pacific_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0376957445550712,0.0376957445550712,0.0376957445550712,7348712.19705,7348712.19705,7348712.19705,0.634580960426172,0.634580960426172,0.634580960426172,0.952635952597166,0.952635952597166,0.952635952597166,1,1,1,1,0,0,0,471.426601597119,545.689185038211,628.233386158897,471.426601597119,545.689185038211,628.233386158897,1,1.3,1.5,692875683.434115,1845282470.11962,3702451442.80359,692875683.434115,1845282470.11962,3702451442.80359,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese anchovy seto_inland_sea_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0346863534928156,0.0346863534928156,0.0346863534928156,2785287.5372884,2785287.5372884,2785287.5372884,0.370583662035057,0.370583662035057,0.370583662035057,2.74707460007433,2.74707460007433,2.74707460007433,1,1,1,1,0,0,0,1083.8912802661,1339.29878411011,2251.72812055383,1083.8912802661,1339.29878411011,2251.72812055383,1,1.3,1.5,603789774.940147,1759923882.49061,5243363270.12591,603789774.940147,1759923882.49061,5243363270.12591,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese anchovy tsushima_current_stock","Japan","Japanese anchovy","Engraulis japonicus",50,1,0.188,0.188,0.188,0.0416500606875606,0.0416500606875606,0.0416500606875606,3250752.27844766,3250752.27844766,3250752.27844766,0.322823696116842,0.322823696116842,0.322823696116842,3.57026615247615,3.57026615247615,3.57026615247615,1,1,1,1,0,0,0,565.491680904287,1007.01664888743,1531.15156900262,565.491680904287,1007.01664888743,1531.15156900262,1,1.3,1.5,367654674.028562,1461940854.60418,3797497730.58324,367654674.028562,1461940854.60418,3797497730.58324,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese carpet shell single_stock","Japan","Japanese carpet shell","Ruditapes philippinarum",50,1,0.188,0.188,0.188,0.0393042832302599,0.0393042832302599,0.0393042832302599,3201424.13855161,3201424.13855161,3201424.13855161,1.14584141533626,1.14584141533626,1.14584141533626,0.239499542678726,0.239499542678726,0.239499542678726,1,1,1,1,0,0,0,4545.05929303081,5397.02324136044,6358.12777797655,4545.05929303081,5397.02324136044,6358.12777797655,1,1.3,1.5,2910132506.37144,7851624242.53577,15986588982.8985,2910132506.37144,7851624242.53577,15986588982.8985,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese flying squid winter_stock","Japan","Japanese flying squid","Todarodes pacificus",50,1,0.188,0.188,0.188,0.0401115335321963,0.0401115335321963,0.0401115335321963,11289977.6607884,11289977.6607884,11289977.6607884,1.20467133745008,1.20467133745008,1.20467133745008,0.592226108492869,0.592226108492869,0.592226108492869,1,1,1,1,0,0,0,2152.47689354068,2629.01965691758,3193.95311255664,2152.47689354068,2629.01965691758,3193.95311255664,1,1.3,1.5,4860283208.68749,13406027442.789,28034335655.2101,4860283208.68749,13406027442.789,28034335655.2101,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Japanese hard clam single_stock","Japan","Japanese hard clam","Meretrix lusoria",50,1,0.188,0.188,0.188,0.0350476808762912,0.0350476808762912,0.0350476808762912,153350.549660295,153350.549660295,153350.549660295,0.941794317281631,0.941794317281631,0.941794317281631,0.428705490375445,0.428705490375445,0.428705490375445,1,1,1,1,0,0,0,10349.8230359475,11189.5559849143,12526.4690535864,10349.8230359475,11189.5559849143,12526.4690535864,1,1.3,1.5,317430210.289867,807038721.988323,1597672083.96097,317430210.289867,807038721.988323,1597672083.96097,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
