"","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19",19,"Crison seabream, Yellowback seabream single_stock","Evynnis japonica, Dentex tumifrons","Crison seabream, Yellowback seabream",33,"Miscellaneous coastal fishes","Medium",3304.25,2860.5,2794.5,2803.25,3486,3303,3942,3127,2635,2687,2343,1659,1865,1674,1726,2348,1856.75,1178.75,1467.75,1256.25,1190.75,1134,928.25,938.75,1104.5,1228,1568,1354,1411,2212,1706,7190.25,7218.25,7365,7514.5,6859,5239.25,5633.5,7078.5,7171.5,7872.25,6436,6558,6761.25,6822.25,6622.25,6529.25,7031,6895.25,6123,7585,6711.5
"20",20,"Cuttlefishes nei single_stock","Sepia spp","Cuttlefishes nei",57,"Squids, cuttlefishes, octopuses","Medium",21703.5,20397.25,15425.25,15736.25,15348,16465,14740,15413,15090,12141,17169,15517,19750,20415,18774,14134,10409.75,7070.5,7659,7898,21220.25,16080,14329.5,6890,7086.5,13584.25,13080,14405,11609,9837,9926,9644.5,9544.75,8055.5,9790.5,9942,8240.25,8297.25,7871,6884.5,7918.5,8225,7066.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,"Daggertooth pike conger single_stock","Muraenesox cinereus","Daggertooth pike conger",34,"Miscellaneous demersal fishes","2",27205.25,29319.75,32712,26834.5,24244,26231,21208,20407,18561,18833,17967,20190,17461,19414,17735,15767,16779.25,16352.25,14285,11873.25,11233.75,9791.75,8478,9293,5878.75,5988,4858,4582,4899,3478,3820,3052.75,1987.75,2060.75,2081,2301.25,2399.5,2737.75,2844.5,2722.75,3068.5,2904,3925.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,"Dolphinfishes nei single_stock","Coryphaenidae","Dolphinfishes nei",37,"Miscellaneous pelagic fishes","Medium",8903.5,7474.25,11559,13406,10956,9516,9233,8356,9375,15003,12118,10911,9703,13058,13468,9471,10278.25,12683.25,13651.25,14988.5,11748.5,14717,13674.25,24019,15256.5,14427,20145,19869,18872,11496,8143,10247.25,8549,10258,14981.25,9292.75,8969.25,9151.25,9384.5,9897.5,9266.5,7203.25,8819.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,"Dotted gizzard shad single_stock","Konosirus punctatus","Dotted gizzard shad",24,"Shads","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23707,18650.5,14849.5,20785.75,17768.75,12335.75,17210,13402.75,10028.75,14331.5,11565.5,8509.5,11736.75,7449.75,6736.5,6588.5,6887.75,6178.75,6424.5,5168.75,3920.25
"24",24,"Flyingfishes nei single_stock","Exocoetidae","Flyingfishes nei",37,"Miscellaneous pelagic fishes","Medium",11204.5,12000.5,10015,10330.25,12193,13744,10139,14076,11021,9898,10003,9017,8641,9135,9552,8759,7690.5,9093.5,8749.25,8235.5,13086.25,15282.25,18662.75,10271.25,9404.5,8642.25,8015,6328,7194,8039,8606,7883.25,8500.5,7487.25,8935.25,6738.25,9616,8282,7025.25,5972.25,6131.5,7722.25,8101.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,"Frigate and bullet tunas single_stock","Auxis thazard, A. rochei","Frigate and bullet tunas",36,"Tunas, bonitos, billfishes","Medium",25603.5,30734.25,29741.5,29309.25,22551,27334,28995,20112,31110,34553,26678,14904,20201,13296,15092,16572,22583.25,16202,17126.5,16673.25,21345,24371.25,21317.25,19702,25659.25,26640.25,23632,29629,26855,28021,24307,27387.25,20373.5,32578.25,21612.25,29514.25,27159.25,37244.25,30982,22349.25,21858.25,29078.75,30043.25,27329.25,28048.75,25118.75,28566.25,19457,27196.25,18224,13099,15566
"26",26,"Imperial surf clam single_stock","Pseudocardium sybillae","Imperial surf clam",56,"Clams, cockles, arkshells","Medium",8501,5724,5009,4946,3982,4050,4065,3630,4770,3448,3312,3497,3351,4474,5401,5208,5082,4350.25,4494,4981,4797,5366,6955,6703,6999,7186,8010,8886,8175,7768,8003,8018,8737,7542,8229,8809,8884,8915,8861,8098.25,8039,7872,8006,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,"Indo-Pacific gurnards single_stock","Chelidonichthys spp","Indo-Pacific gurnards",34,"Miscellaneous demersal fishes","Medium",2605.75,2647,2847,5908,NA,8153,9055,7931,5615,5036,5586,5071,3523,3231,2761,2474,3397,3355.75,1809.25,1287.75,1190.25,832.25,907.75,689.5,728.5,750.5,890,1115,1016,1061,1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,"Japanese amberjack single_stock","Seriola quinqueradiata","Japanese amberjack",37,"Miscellaneous pelagic fishes","3",40601.5,43818,38948.25,48623,48424,51128,54875,48102,49738,52916,40977,38316,42763,26915,37410,44969,42012,37773,38443.25,41822.25,41212.25,33422.25,33761.25,35350,34908,39690,52098,50995,55427,43248,53802,61666,50331,47214,45483,54917,77463,66927,51191,60786,66344,54890,69352.25,72470,75965,78335,106889,110914,99460,115765,125221,123173
