"","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"57",57,"Neon flying squid single_stock","Ommastrephes bartrami","Neon flying squid",57,"Squids, cuttlefishes, octopuses","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154942,90802,79468,60362,113443,83563.25,56505.5,63091.5,54952.25,36468.5,106746.25,96182.25,74891.25,45496.5,52606.5,46506,37830.5,21933.25,23876.25,26909.5,15859.5,14289,3348,3606.75,3275.5,2925
"58",58,"Octopuses nei single_stock","Octopus spp","Octopuses nei",57,"Squids, cuttlefishes, octopuses","Medium",64701.25,78057,65553,98133,102716,92418,96127,85507,66857,62278,76731,73962,66873,67913,65440,51987,46107,52238,43204,41648,42973,40205,47000,49976,47855,49302.25,54757,50603,49085,51288,51459,51872.25,50586.25,56594.25,61260.25,57427.25,47371.25,45201.25,57485,61093,54655,55308.25,50779.25,52564.25,48820.25,45724.25,41666.25,35185.25,33641.25,33701.25,34575.25,32438.25
"59",59,"Okhotsk atka mackerel hokkaido_north","Pleurogrammus azonus","Okhotsk atka mackerel",33,"Miscellaneous coastal fishes","3",204501.25,107290.25,106016.25,81912.25,86856,102581,146516,147209,180552,114986,143500,114706,229194,234812,134760,118888,117352.5,122839.5,102883.5,55531.5,65650.25,66384.5,89040,99378,104160.75,114945.5,133605,130385,97564,135529,152503,176602.75,181514.25,206764.25,240972.75,169481.25,165118.25,161161.25,154735.75,167989,175545.5,140451.75,116390.5,139155.75,169806.25,119328.25,84500.25,62585.5,68764.75,52717.75,28446.75,17113.5
"60",60,"Pacific bluefin tuna single_stock_exc_sbf_inc_sml","Thunnus orientalis","Pacific bluefin tuna",36,"Tunas, bonitos, billfishes","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11213,11235.25,11442.25,8465.75,16357,16693.5,10813.5,11793.25,11424.25,14198.5,19327,15209,15790.25,21004,17522,10362,15489,8637,8503,11274,7629
"61",61,"Pacific bluefin tuna single_stock_inc_sbf_exc_sml","Thunnus orientalis","Pacific bluefin tuna",36,"Tunas, bonitos, billfishes","3",59202.25,55906.25,45180,54656,56507,52982,43899,48260,46311,48048,50460,40716,41805,51900,46552,44239,49493.25,58486,44209.25,36663.25,35718,29948.75,23455.75,25336,18614.25,19938.75,13798,15791,16553,16858,19257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,"Pacific cod hokkaido","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","3",43300,41124,37609,36612,39308,30595,27619,39746,36314,41289,40765,39957,31844,32779,33907,47994,52478,57645,55010,59105,66154,72673,61293,70676,38074,36264,40490,37371,63976,55513,58967,47745,47995,45234,32457,31157,32453,28302,20245,19935,19066,20420,19933,20169,22551,22225,23041,27868,28103,28976,24082,21076
"63",62,"Pacific cod hokkaido","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","2",43300,41124,37609,36612,39308,30595,27619,39746,36314,41289,40765,39957,31844,32779,33907,47994,52478,57645,55010,59105,66154,72673,61293,70676,38074,36264,40490,37371,63976,55513,58967,47745,47995,45234,32457,31157,32453,28302,20245,19935,19066,20420,19933,20169,22551,22225,23041,27868,28103,28976,24082,21076
"64",63,"Pacific cod pacific_north_stock","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","3",40100,44464,44322,55392,65552,66590,85831,51321,45178,62199,62009,47676,52310,46991,48103,39143,40498.25,40553.25,35049.25,40878,44726.25,42135,36818,39048,17709,17123.25,14967,9829,10688,6222,6101,7769.5,8287.25,11691.75,23597.5,22988,17457,14201.25,8151.5,12057.5,16634.25,25914.25,24569.25,21912.25,14242.25,22188.25,27570.5,14863.5,19282.25,30657.25,29326.75,24366.25
"65",63,"Pacific cod pacific_north_stock","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","2",40100,44464,44322,55392,65552,66590,85831,51321,45178,62199,62009,47676,52310,46991,48103,39143,40498.25,40553.25,35049.25,40878,44726.25,42135,36818,39048,17709,17123.25,14967,9829,10688,6222,6101,7769.5,8287.25,11691.75,23597.5,22988,17457,14201.25,8151.5,12057.5,16634.25,25914.25,24569.25,21912.25,14242.25,22188.25,27570.5,14863.5,19282.25,30657.25,29326.75,24366.25
"66",64,"Pacific cod sea_of_japan_stock","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","3",11000.5,4500,3918,4065,4610,6595,3669,4253,6112,5025,5625,4737,6314,5482,7013,4691,3769,4008,5069,4149,3138,2741,2392,2029,3317,4302,3628,1725,1026,751,930,1049.25,1294.25,1552.25,1190.5,1147.5,1142.5,1043.5,1121.25,1163.25,1803.25,2696,3030,3641.25,2887.25,3247.25,3995.25,4527.25,3373.25,3603.25,3697.25,4380
"67",64,"Pacific cod sea_of_japan_stock","Gadus macrocephalus","Pacific cod",32,"Cods, hakes, haddocks","2",11000.5,4500,3918,4065,4610,6595,3669,4253,6112,5025,5625,4737,6314,5482,7013,4691,3769,4008,5069,4149,3138,2741,2392,2029,3317,4302,3628,1725,1026,751,930,1049.25,1294.25,1552.25,1190.5,1147.5,1142.5,1043.5,1121.25,1163.25,1803.25,2696,3030,3641.25,2887.25,3247.25,3995.25,4527.25,3373.25,3603.25,3697.25,4380
"68",65,"Pacific herring single_stock","Clupea pallasii","Pacific herring",35,"Herrings, sardines, anchovies","Medium",56500.5,50170,48616.5,63672.25,67921,85240,97374,100483,62198,82658,76273,66617,66083,19873,6707,6820,11155.5,8901,24198,8357.5,6760.5,9193.5,72741.5,19150.25,5855.75,5890.5,1550,13837,2854,1482,2146,3873.25,2021.75,1927,2531.75,2578.75,2259.25,2385.5,1365.25,3350.25,4717.25,8933,3343.5,6272.75,3445,3373.25,3207.25,3705.75,4478.25,4510.5,4608.25,4733
"69",66,"Pacific ocean perch single_stock","Sebastes alutus","Pacific ocean perch",34,"Miscellaneous demersal fishes","4",66501,98639.25,117877.25,121820.25,114613,102256,74264,87382,87565,100732,111190,82465,76798,52491,32239,40448,31309.75,27776.5,16634.5,11799.25,15336.5,16851.25,20726.25,10699.25,9585.25,6239.75,10148,4753,3250,4998,4724,2421.25,3314.25,1335,1904.25,1241.25,599,857.5,968,671.25,587.5,739.25,720,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",67,"Pacific salmons nei single_stock","Oncorhynchus spp","Pacific salmons nei",23,"Salmons, trouts, smelts","Medium",77802,79261,80563,77575.5,67257,66957,79434,78910,84152,81706,97197,109952,92910,77574,82122,104664,99521.5,122127.75,112827.25,133202.25,135613.75,172974.5,151577.5,142128.5,151107.75,170965.5,209260,192612,156531,204439,209694,256596,287458,261390.75,194482.75,174621.5,153742,211090.75,208035.75,264120,245261,229280.25,218908.5,210169.5,167248.75,205003.25,163832,136233.75,128105.75,160574.5,146280.25,135877.75
"71",68,"Pacific saury single_stock","Cololabis saira","Pacific saury",37,"Miscellaneous pelagic fishes","1",209202,231376.25,241840.25,220087.75,140205,63288,93129,190288,196615,406445,135462,221573,105419,253465,360212,277957,187155.75,160322.25,206957.25,239658.5,209974.5,245944.5,217229.25,197085,291576,246822,308271,303567,265884,277461,261587,273510.25,229229.25,290812.5,144986,141012.5,216470.5,269797,205281.5,264805.25,204371.5,234451.75,244586,296521.25,347309.75,303868.25,205106.25,211708.75,218116.5,146387.5,217376.25,110946.25
"72",69,"Pufferfishes nei ise_mikawa_bay_stock","Takifugu spp","Pufferfishes nei",33,"Miscellaneous coastal fishes","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317,341,303,797,607,946,648,847,551,477,384,413,537,540,484,423,315,352,265,294,354
"73",70,"Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock","Takifugu spp","Pufferfishes nei",33,"Miscellaneous coastal fishes","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8674,7898,6802.25,7534,9041.25,10044,7173.25,7021,5787,6226,5885.25,5279,4518,4668,3699,4534,5971,5449,4575.25,4531,4531.25
"74",71,"Queen crab okhotsk_stock","Chionoecetes opilio","Queen crab",42,"Crabs, sea-spiders","Medium",4700,4906,9028,20283,16818,15404,12866,10723,10509,8941,6635,7191,5965,3510,3616,3356,3830,4024,5438,3649,2840,5510,9009,6048,3309,3619,2544,5538,4324,2828,3031,4033,332,1350,855,1010,1712,1512,988,879,758,406,799,574,455,309,206,178,139,287,753,977
"75",72,"Queen crab pacific","Chionoecetes opilio","Queen crab",42,"Crabs, sea-spiders","Medium",0.5,413,NA,1483,32594,23533,23697,18638,18353,15418,15335,11582,11068,11407,13862,14784,12613,3634,141,372.5,395.25,1236,1432,721,2028.25,2631,152,388,324,518,1109,2259.5,163.25,254.75,269.25,186.75,142.75,97.5,168.75,169.25,261.25,124.5,103.75,178.5,145.75,227.75,225.5,128.5,1,8,2.25,5.25
"76",73,"Queen crab sea_of_japan_stock","Chionoecetes opilio","Queen crab",42,"Crabs, sea-spiders","Medium",15000.75,11061,10459,10100,12267,13374,16702,12991,12868,9022,8096,5428,4995,6153,5425,5334,4871,4827,4207,4345,3665,3576,3145,2588,2404,2250,2103,1982,1947,2266,2779,2797,2953,3265,3551,3695,3788,3746,3976,4407,4941,4318,5093,5216,4707,4180,4378,4132,4215,3887,3591,3430
"77",74,"Rays and skates nei single_stock","Rajidae","Rays and skates nei",38,"Sharks, rays, chimaeras","Medium",10907.5,10324.25,10730,10591.5,NA,8457,10161,7681,6963,7539,6419,7684,7819,9409,8265,9494,11886.25,9399.75,9990.75,8083.5,9065.5,6577.25,6610,6799,6637,5350.25,5492,4778,4585,4247,4040,3984.5,4029.5,3959.5,4328.25,4407,5391.25,4312.25,4512,4847,4699,5208,5233,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",75,"Red snow crab single_stock","Chionoecetes japonicus","Red snow crab",42,"Crabs, sea-spiders","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29626,29350,28219.25,27839,25547,24861,21200,19250,18042.25,17793,19834.25,21456,20227,20229,20312,19227.25,18133.25,17783.5,17389,17604.25,16074.5
"79",76,"Red-eye round herring pacific_stock","Etrumeus teres","Red-eye round herring",35,"Herrings, sardines, anchovies","Medium",12600.75,17084.25,12919.25,10938.25,13425,12500,12857,28913,23093,16838,19708,18646,23103,15930,13009,15337,13523.25,13909.25,12654.75,9015.25,14128.25,8802.25,9035,7857,10771,9528.25,9924,12404,19253,23028,24733,23882,24245,36174.25,28853,16355,15925,19514,14320,19146.25,17282,21073,26396,38751,35982.25,36041,25244,52772,50729,47716,56010,63153.75
"80",77,"Red-eye round herring tsushima_current_stock","Etrumeus teres","Red-eye round herring",35,"Herrings, sardines, anchovies","Medium",18200.5,11987,13390.5,13087.25,21763,16655,11002,18213,25674,23584,26456,25290,29373,28899,37562,34124,24893,22156,22140,26581,24801,21395,37934,26273,44308,40571,39757,32399,41955,37067,43641,23708.25,25505.25,18867.25,19588.25,12358.25,7908,12008.25,12030,11500.5,14374.5,14347,11800,21485,12149.25,17599.25,23258,31887,29927,41595.5,18783.25,34130.5
"81",78,"Righteye flounders nei hokkaido_north_stock","Pleuronectidae","Righteye flounders nei",31,"Flounders, halibuts, soles","Medium",53100,59671,72008,82289,76438,58501,61504,65698,74682,78006,88671,88799,85856,68978,71496,71902,70462,70990,71573,65982,78669,69021,37817,31457,28384,27927,27068,26635,30910,32305,29817,30336,33584,32686,32549,29797,29551,25836,23795,24829,22421,21774,20168,19734,20093,20107,19656,22157,22760,22447,20613,19004
"82",79,"Righteye flounders nei pacific_north","Pleuronectidae","Righteye flounders nei",31,"Flounders, halibuts, soles","Medium",32101.25,38478,44524,45634,120787,174151,172140,211762,209303,222813,198290,187514,191379,145425,161679,145443,145252,151996,135264,126439,122782,86269,75351,27985,21951,20050,19208,19608,23379,23713,17547,20407,21548,20241,20357,19389,19639,17646,19985,17335,15359,15865,16622,15760,15069,12641,11340,7975,7072,7015,7837,7652
"83",80,"Righteye flounders nei sea_of_japan_stock","Pleuronectidae","Righteye flounders nei",31,"Flounders, halibuts, soles","Medium",161900,111010,149355,163550,54990,56881,54556,62618,64562,78771,61752,64850,67741,67156,73448,64731,66055,67263,61632,58342,55812,50817.25,43702.25,33626.25,27915,27673.25,25344,26098,27481,25595,24175,24784,27849,25237,22166,22106.25,21878.25,20372,20030,19331,17788,16578,18756,20417,20686,18348,18034,18686,16992,16394,15897,14421
"84",81,"Rudderfish single_stock","Centrolophus niger","Rudderfish",34,"Miscellaneous demersal fishes","4",5004.25,4052.5,3949,3585.25,NA,5406,4103,11237,7821,18522.25,8454,15909,25128,15969,23044,1364,912,824.25,1527.25,4173.5,1360.5,1939.75,3025,8231.5,3937.25,1820.5,6643,4147,3458,3203,4470,3489.5,3514.5,4316.5,4314.5,4996.5,5216.5,4195,3694,3970,3894.5,3766.75,4510.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",82,"Sandlances nei ise_mikawa_bay_stock","Ammodytidae","Sandlances nei",33,"Miscellaneous coastal fishes","Medium",6500.25,13143,9300,16993,24187,23327,17311,23309,23531,23344,28559,24756,19875,7650,3074,2703,3695,1772,699,10252,6995,10413,12814,11579,8131,11457,2501,6078,28777,17742,10405,4564,11576,9290,1644,11852,1507,15522,17395.25,6280.25,20696,10339,22290,10044,6561,1869,22788,12361,15826.25,11952,14410,4165
"86",83,"Sandlances nei sea_of_japan_stock","Ammodytidae","Sandlances nei",33,"Miscellaneous coastal fishes","Medium",5501.75,6018,5236,6004,6889,4580,6588,10336,7248,15907,11024,8898,12302,15606,4520,1925,272,392,220.25,452,142,827,859.25,685,612.5,597,717,422,843,784,1152,5617,5805.25,4398.5,2366.75,3465.25,2759.25,3065.25,2577.75,946.5,1025.25,1374.25,535.25,139.25,210.5,380.75,61,144.25,6.25,15,2.5,21.25
"87",84,"Sandlances nei sendai_bay_stock","Ammodytidae","Sandlances nei",33,"Miscellaneous coastal fishes","Medium",10900,33802,20013,18347,19777,14957,16429,29416,16598,21564,14581,16279,18858,26396,21418,16245,63308.5,15542,21794,45497,88078,50724.25,79671,60229,23388.25,17036,11385,7775,16375,23296,30764,21726,35448,20190,18154.5,12740.25,18601,20410,9230,19249,17561,15156,12303,7449,22333,10839,12636,69,484,3022,3849,4318
"88",85,"Sandlances nei seto_inland_sea_east_stock","Ammodytidae","Sandlances nei",33,"Miscellaneous coastal fishes","Medium",18500.5,42718,23090.25,34009,50964,34805,59842,65507,40065,30361,51062,30113,52800,24536,37234,47073,74443,62561,45479,28001,24044.25,29894,24794,35299,23621,20985,39375,44719,43317,34834,36113,18418,26730,23352,33943,26401,13457,35226,22331,19769,15516.25,20256,33456,12541.25,17766,4380.25,12433,25178,16627,15295.25,14942.5,13544.25
"89",86,"Sandlances nei soya_strait","Ammodytidae","Sandlances nei",33,"Miscellaneous coastal fishes","Medium",12800,16025,13512,27129,48657,28872,126907,143368,107488,102818,194629,194804,120555,63142,32832,42538,59508,82182,58466,35961,45108,30685,23209,14483,27150,27089,21567,31113,34797,29912,30910,57798,36207,51437,34581,28460,13496,13941,16030,13831,11969,20463,32339,16746,15247,15284,22840,6994,3646,7928,608,7170
"90",87,"Sea cucumbers nei single_stock","Holothuroidea","Sea cucumbers nei",76,"Sea-urchins and other echinoderms","Medium",7203.5,8459,9715.5,12539.75,13019,12297,11470,12044,11244,10573,10817,9380,10579,9793,10145,9377,8376.25,8099.25,8435.25,8295.25,7624,7862.5,7248.25,7133.5,6917.5,6504.25,6426,6591,6072,5996,6106,6602.25,7225,7162,6948.25,6662,6955,7229.25,7262,8521,9269,9372,10347.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",88,"Sea urchins nei single_stock","Strongylocentrotus spp","Sea urchins nei",76,"Sea-urchins and other echinoderms","Medium",19503.5,20721.75,23220.75,23359.75,26978,27528,27177,25434,22386,24129,23573,22482,24069,26898,25931,26499,24129,23981,25973,25254.25,23962.75,22745.25,23072.5,22760.75,21812.75,20414.5,19398,14136,13889,13713,15525,13734.75,12995.25,14295.25,13653,13532.25,12455.5,11210.5,12733.75,12574.5,12719.75,11990.75,10818.75,11679.5,10867.75,11061.75,10218,7880.75,8249,8211.75,8055.75,8564
"92",89,"Skipjack tuna single_stock","Katsuwonus pelamis","Skipjack tuna",36,"Tunas, bonitos, billfishes","3",165703.5,136071,229075.25,181895,168885,182044,202870,171544,222826,283739,346895,258736,331047,309407,369526,329950,354155.5,289277.5,302982.5,352694.5,446318.25,314799.5,413975.5,330932.5,434400.75,338151.5,301231,397329,322970,345181,299995,308940,275125.75,313918.75,385450.75,287346,341450.75,276722.5,301914.25,322458.5,296591,370382,322689.25,330313.75,307823.5,268523.5,302843,262129.25,284773.25,272685,244741.25,238263
"93",90,"Smelts nei pacific_stock","Osmerus spp, Hypomesus spp","Smelts nei",23,"Salmons, trouts, smelts","Medium",1101.5,1291.25,1401.25,1075,1236,1392,1328,3399,1872,1444,1746,1352,1231,3399,2543,2836,2468,1694,1671.25,1759.25,1695.25,1341.25,1630,1856.25,1743.25,1701.25,1746,1901,2011,1569,2323,1627.25,2088.75,2077.25,1628.5,1347.5,1198.5,1150.25,1166.75,973.75,991.75,913.25,701,672,1056,989,898,599,599,563,570.5,648.25
"94",91,"Smelts nei sea_of_japan_stock","Osmerus spp, Hypomesus spp","Smelts nei",23,"Salmons, trouts, smelts","Medium",9200.25,11069,12106,12995.25,11865,9549,15207,19046,9456,10040,9543,8334,8675,11607,10560,9254,8672,10501,10532,9868,7420,5432,5370,5721,6500,4664,4641,4891,5457,6208,6655,6079,6047,5353,5513,4968,4773.5,4263.25,3759.75,3521,4230.25,3265.5,3586.5,3556,3776,3274.25,3072,2843.25,2819.25,2563.25,2366,2519
"95",92,"Southern bluefin tuna single_stock","Thunnus maccoyii","Southern bluefin tuna",36,"Tunas, bonitos, billfishes","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6271,6281.25,6317,6639,7209.75,6331,6209,5900,4695,4543,6106,5677,3036,3208,2298,2737,2677,2952,2747,3539,4355
"96",93,"Striped marlin single_stock","Tetrapturus audax","Striped marlin",36,"Tunas, bonitos, billfishes","Medium",27303.5,28054,24477.25,23525.25,23005,20627,21075,21170,17020,14243,16153,18487,13949,11746,13259,13200,14176.5,13592,12370,12256,11550,10910,13955.5,11787,13790.75,10334.25,7887,7892,7549,8318,7969,7655.25,7728.75,6226.75,7712.5,5490.5,5191,4573.25,4843.25,4062.5,4355.25,3224.5,3099.25,2768.25,3107.5,2293.25,2818.5,2854.5,3176.25,2747.25,2023.25,2216.25
"97",94,"Swimming crabs, etc. nei single_stock","Portunidae","Swimming crabs, etc. nei",42,"Crabs, sea-spiders","Medium",606.5,1306.5,2350.25,1723.5,1045,1025,997,1100,1466,3086,3491,4229,3104,2959,3501,3905,2806,4140.5,4717.25,5602.5,4638.25,5227,5327,3990,3412,2658,4105,3831,3270,2958,3564,4157.5,4025,3113,3527.25,2754,3131,3598,3486,2627,3355,3199,3017,2988,2806.25,2320,2666,2680,2748.25,2781.5,2322.75,2119.75
"98",95,"Swordfish single_stock","Xiphias gladius","Swordfish",36,"Tunas, bonitos, billfishes","3",18203.5,20612.25,21680.25,18702,19137,20988,20803,12270,14003,13164,13444,16048,17158,15151,15749,15076,13598,16587,14830,16914,17006,20363,18015,16723.25,19359.25,15127.5,14704,12963,15352,15093,13816,12383.75,13263.75,12264,12649.5,11173.75,10254,9617.25,10493.25,9323.25,9762,9498.5,9524,10795.25,10203.25,8513.5,8829.5,7919.5,8611.75,7938,8235.5,8582
"99",96,"Tilefishes nei single_stock","Branchiostegidae","Tilefishes nei",34,"Miscellaneous demersal fishes","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4193.25,3650.75,2993.25,2285.25,1950.25,1675.25,1781.25,1802.25,1717.25,1662.25,1350.25,1359.25,1518.25,1357.5,1377.25,1266.5,1227.25,1227.5,1092.25,1130.5,1134.25
"100",97,"Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",38201.75,66400,46066.75,70845.25,46533,74352,38462,60389,35449,54303,35334,49386,33184,38891,20644,26353,22998.5,27714.5,23483.5,27834.25,21730.25,30154.5,15837.75,18594.75,16233.75,21125.5,13919,22147,22778,25659,30191,24980.5,31144.5,15894.75,24981.25,17105.75,25610.75,10168.5,26573.25,22901.5,13291.75,17146,11979,24608.75,12804.75,18450.25,14908.75,10930.75,5900,8952,4671.25,4096.5
"101",98,"Turbans nei single_stock","Turbo spp","Turbans nei",52,"Abalones, winkles, conchs","Medium",5905.25,6875.25,6930.25,7192.5,8091,8459,8630,8276,9116,10200,10005,10344,9998,9830,10241,10761,10246.5,9132.25,8884.25,7120.25,4838.25,5253.25,7313.25,9697.25,10816.25,9755.25,9196,8276,8484,9617,10393,9942.5,10119.5,12134.25,12558.25,10997.25,9839.25,10243.5,9507.25,8658.25,8823.5,8387.5,7909.5,8458.5,7879.25,7557.25,7084.25,6225.25,5490.25,5650.25,6163.25,6098.25
"102",99,"Whitebait smelt single_stock","Allosmerus elongatus","Whitebait smelt",23,"Salmons, trouts, smelts","3",37301.5,32824.5,33772.25,34975,41593,32378,35479,40657,50819,58242,39308,47052,60150,42005,41192,55315,55196,53341.25,72945.5,94107.25,71094.25,95934,100434.5,73835.25,93241.25,84926,68397,82146,63381,59674,59401,55409.25,58232.25,59618,52428,79405,74582.25,58284.5,62694,67620.5,47324.25,62507,48114,65312,69755,56963,71842,47998.25,65884,59159,60514,64766
"103",100,"Yellow croaker single_stock","Larimichthys polyactis","Yellow croaker",33,"Miscellaneous coastal fishes","3",42500.25,72285.25,66545.25,56192.25,NA,35904,42160,25764,14371,17046,20184,12565,10751,7395,3573,7214,3707.25,4375.75,1220,637.25,848,720.25,1194.5,1549.25,694,465,619,358,141,93,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",101,"Yellowfin tuna single_stock","Thunnus albacares","Yellowfin tuna",36,"Tunas, bonitos, billfishes","3",121401.25,123588,128431,93735,115515,89962,79077,70857,67761,69933,75845,71939,85744,82845,98063,99660,119001.25,110005,114219.25,112493,115389,134395,118257.25,115225,102265,100002.25,98257,108088,122753,126915,105819,111953,80134.25,111862.25,93887,96683.25,98965,102097.25,73246.25,79287,76517,82569,73771,81015,73787,62491.25,84319,67234,62950.5,54532.5,55505,69738.75
"105",102,"Yesso scallop single_stock","Patinopecten yessoensis","Yesso scallop",55,"Scallops, pectens","Medium",6800,5742,7370.25,6819,4989,14644,16477,14439,23454,22208,25207,30274,30270,43502,59664,79733,83135,91139.25,99504,128136,135239,118277,109731,145358,159689,189118.5,229667,179077,193475,223844,270890,274880,271125.25,261163.5,287801.75,299628.75,304286.75,290974.75,306666.75,344149.75,313799.75,287486.25,271928.25,258302.75,310205.5,319637.5,327086.75,302990.25,315386.25,347542,358981,233885.25
