stock;yr;ct;et;res
sol-nsea;1966;33340;0.32;Medium
sol-nsea;1967;33439;0.41;Medium
sol-nsea;1968;33179;0.49;Medium
sol-nsea;1969;27559;0.55;Medium
sol-nsea;1970;19685;0.4;Medium
sol-nsea;1971;23652;0.51;Medium
sol-nsea;1972;21086;0.46;Medium
sol-nsea;1973;19309;0.5;Medium
sol-nsea;1974;17989;0.49;Medium
sol-nsea;1975;20773;0.5;Medium
sol-nsea;1976;17326;0.42;Medium
sol-nsea;1977;18003;0.46;Medium
sol-nsea;1978;20280;0.48;Medium
sol-nsea;1979;22598;0.49;Medium
sol-nsea;1980;15807;0.45;Medium
sol-nsea;1981;15403;0.5;Medium
sol-nsea;1982;21579;0.55;Medium
sol-nsea;1983;24927;0.49;Medium
sol-nsea;1984;26839;0.62;Medium
sol-nsea;1985;24248;0.6;Medium
sol-nsea;1986;18201;0.58;Medium
sol-nsea;1987;17368;0.5;Medium
sol-nsea;1988;21590;0.57;Medium
sol-nsea;1989;21805;0.44;Medium
sol-nsea;1990;35120;0.44;Medium
sol-nsea;1991;33513;0.45;Medium
sol-nsea;1992;29341;0.42;Medium
sol-nsea;1993;31491;0.51;Medium
sol-nsea;1994;33002;0.56;Medium
sol-nsea;1995;30467;0.53;Medium
sol-nsea;1996;22651;0.7;Medium
sol-nsea;1997;14901;0.6;Medium
sol-nsea;1998;20868;0.64;Medium
sol-nsea;1999;23475;0.58;Medium
sol-nsea;2000;22641;0.61;Medium
sol-nsea;2001;19944;0.58;Medium
sol-nsea;2002;16945;0.58;Medium
sol-nsea;2003;17920;0.59;Medium
sol-nsea;2004;18757;0.51;Medium
sol-nsea;2005;16355;0.58;Medium
sol-nsea;2006;12594;0.45;Medium
sol-nsea;2007;14635;0.46;Medium
sol-nsea;2008;14071;0.35;Medium
sol-nsea;2009;13952;0.36;Medium
spr-2232;1974;242000;0.31;Medium
spr-2232;1975;201000;0.35;Medium
spr-2232;1976;195000;0.35;Medium
spr-2232;1977;181000;0.32;Medium
spr-2232;1978;132000;0.31;Medium
spr-2232;1979;77000;0.24;Medium
spr-2232;1980;58000;0.26;Medium
spr-2232;1981;49000;0.15;Medium
spr-2232;1982;49000;0.25;Medium
spr-2232;1983;37000;0.12;Medium
spr-2232;1984;53000;0.17;Medium
spr-2232;1985;70000;0.17;Medium
spr-2232;1986;76000;0.22;Medium
spr-2232;1987;88000;0.28;Medium
spr-2232;1988;80000;0.25;Medium
spr-2232;1989;86000;0.23;Medium
spr-2232;1990;86000;0.14;Medium
spr-2232;1991;103000;0.18;Medium
spr-2232;1992;142000;0.21;Medium
spr-2232;1993;178000;0.16;Medium
spr-2232;1994;289000;0.27;Medium
spr-2232;1995;313000;0.36;Medium
spr-2232;1996;441000;0.32;Medium
spr-2232;1997;529000;0.44;Medium
spr-2232;1998;471000;0.44;Medium
spr-2232;1999;421000;0.42;Medium
spr-2232;2000;389000;0.34;Medium
spr-2232;2001;342000;0.32;Medium
spr-2232;2002;343000;0.41;Medium
spr-2232;2003;308000;0.44;Medium
spr-2232;2004;374000;0.54;Medium
spr-2232;2005;405000;0.51;Medium
spr-2232;2006;352000;0.43;Medium
spr-2232;2007;388000;0.43;Medium
spr-2232;2008;381000;0.47;Medium
spr-2232;2009;407000;0.54;Medium
whb-comb;1981;922980;0.27;Medium
whb-comb;1982;550643;0.22;Medium
whb-comb;1983;553344;0.25;Medium
whb-comb;1984;615569;0.33;Medium
whb-comb;1985;678214;0.37;Medium
whb-comb;1986;847145;0.5;Medium
whb-comb;1987;654718;0.38;Medium
whb-comb;1988;552264;0.38;Medium
whb-comb;1989;630316;0.49;Medium
whb-comb;1990;558128;0.48;Medium
whb-comb;1991;364008;0.23;Medium
whb-comb;1992;474592;0.2;Medium
whb-comb;1993;475198;0.21;Medium
whb-comb;1994;457696;0.18;Medium
whb-comb;1995;505176;0.24;Medium
whb-comb;1996;621104;0.33;Medium
whb-comb;1997;639681;0.33;Medium
whb-comb;1998;1131955;0.46;Medium
whb-comb;1999;1261033;0.41;Medium
whb-comb;2000;1412449;0.53;Medium
whb-comb;2001;1771805;0.47;Medium
whb-comb;2002;1556955;0.45;Medium
whb-comb;2003;2365319;0.51;Medium
whb-comb;2004;2400795;0.56;Medium
whb-comb;2005;2018344;0.47;Medium
whb-comb;2006;1956239;0.41;Medium
whb-comb;2007;1612269;0.43;Medium
whb-comb;2008;1251851;0.47;Medium
whb-comb;2009;634978;0.39;Medium
whg-47d;1990;48993;0.85;Medium
whg-47d;1991;56154;0.69;Medium
whg-47d;1992;55041;0.65;Medium
whg-47d;1993;54794;0.67;Medium
whg-47d;1994;52340;0.82;Medium
whg-47d;1995;49182;0.74;Medium
whg-47d;1996;43869;0.67;Medium
whg-47d;1997;38558;0.51;Medium
whg-47d;1998;31505;0.49;Medium
whg-47d;1999;33701;0.55;Medium
whg-47d;2000;32709;0.64;Medium
whg-47d;2001;28170;0.42;Medium
whg-47d;2002;22026;0.28;Medium
whg-47d;2003;16765;0.27;Medium
whg-47d;2004;14208;0.27;Medium
whg-47d;2005;17690;0.25;Medium
whg-47d;2006;20832;0.36;Medium
whg-47d;2007;20684;0.36;Medium
whg-47d;2008;19894;0.39;Medium
whg-47d;2009;21701;0.33;Medium
whg-7e-k;1982;11200;1.07;Medium
whg-7e-k;1983;11800;1.41;Medium
whg-7e-k;1984;10000;1.22;Medium
whg-7e-k;1985;10800;1.03;Medium
whg-7e-k;1986;10000;1.02;Medium
whg-7e-k;1987;12700;1.32;Medium
whg-7e-k;1988;15100;1.07;Medium
whg-7e-k;1989;16500;0.96;Medium
whg-7e-k;1990;14100;0.97;Medium
whg-7e-k;1991;13500;1.18;Medium
whg-7e-k;1992;12400;0.82;Medium
whg-7e-k;1993;16300;0.78;Medium
whg-7e-k;1994;20000;0.6;Medium
whg-7e-k;1995;22700;0.53;Medium
whg-7e-k;1996;18300;0.39;Medium
whg-7e-k;1997;20500;0.4;Medium
whg-7e-k;1998;19200;0.5;Medium
whg-7e-k;1999;19900;0.81;Medium
whg-7e-k;2000;14900;0.75;Medium
whg-7e-k;2001;12800;0.87;Medium
whg-7e-k;2002;13100;0.65;Medium
whg-7e-k;2003;10600;0.48;Medium
whg-7e-k;2004;10000;0.45;Medium
whg-7e-k;2005;12000;0.78;Medium
whg-7e-k;2006;9500;0.83;Medium
whg-7e-k;2007;8900;1.15;Medium
whg-7e-k;2008;5700;0.71;Medium
whg-7e-k;2009;5700;0.48;Medium
