Fishery,Country,Species,Scientific,Time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_domestic,theta_legal1_lower,theta_legal1_expected,theta_legal1_upper,theta_legal2_lower,theta_legal2_expected,theta_legal2_upper,p1_lower,p1_expected,p1_upper,p2_lower,p2_expected,p2_upper,beta_lower,beta_expected,beta_upper,c1_lower,c1_expected,c1_upper,c2_lower,c2_expected,c2_upper,disc_lower,disc_expected,disc_upper,gamma_p1,gamma_p2,gamma_c1,gamma_c2,lambda,split
Pufferfishes nei ise_mikawa_bay_stock,Japan,Pufferfishes nei,Takifugu spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock,Japan,Pufferfishes nei,Takifugu spp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab okhotsk_stock,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab pacific,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen crab sea_of_japan_stock,Japan,Queen crab,Chionoecetes opilio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rays and skates nei single_stock,Japan,Rays and skates nei,Rajidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red snow crab single_stock,Japan,Red snow crab,Chionoecetes japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei hokkaido_north_stock,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei pacific_north,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Righteye flounders nei sea_of_japan_stock,Japan,Righteye flounders nei,Pleuronectidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
