"X","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","year","catch","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","res","Value","id","MSY","phi","r","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","Biomass","BMSY","B_over_K"
5014,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1985,30154.5,0.935327951903524,0.184119456090696,31,0.405564073595868,0.292261808693781,0.37435778459221,0.315842210027975,0.372747202496234,74352,6,0.0560764049002428,0.3678695467299,0.405564073595868,NA,NA,NA,NA,0.4,0.184119456090696,0.0758856023679156,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.935327951903524,0.298844330883867,2.01325529510306,382298.642786081,408732.190680338,0.374115000576027
5015,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1986,15837.75,0.922105553694105,0.0223124562435767,30,0.213010409941898,0.405564073595868,0.292261808693781,0.37435778459221,0.315842210027975,74352,6,0.0560764049002428,0.3678695467299,0.213010409941898,NA,NA,NA,NA,0.4,0.0223124562435767,0.0764426250830173,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.922105553694105,0.298844330883867,1.07256464490996,376894.222999897,408732.190680338,0.368826270025779
5016,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1987,18594.75,0.916871492497116,0.00759022515340085,29,0.250090784377017,0.213010409941898,0.405564073595868,0.292261808693781,0.37435778459221,74352,6,0.0560764049002428,0.3678695467299,0.250090784377017,NA,NA,NA,NA,0.4,0.00759022515340085,0.0763436817635805,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.916871492497116,0.298844330883867,1.26646299784183,374754.893700697,408732.190680338,0.366732736090712
5017,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1988,16233.75,0.917671775309332,-0.0127185199401209,28,0.218336426726921,0.250090784377017,0.213010409941898,0.405564073595868,0.292261808693781,74352,6,0.0560764049002428,0.3678695467299,0.218336426726921,NA,NA,NA,NA,0.4,-0.0127185199401209,0.0762999026185734,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.917671775309332,0.298844330883867,1.10469429383504,375081.995047698,408732.190680338,0.367052835371551
5018,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1989,21125.5,0.912453322003326,0.0225156716038835,27,0.284128200989886,0.218336426726921,0.250090784377017,0.213010409941898,0.405564073595868,74352,6,0.0560764049002428,0.3678695467299,0.284128200989886,NA,NA,NA,NA,0.4,0.0225156716038835,0.0761589227111103,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.912453322003326,0.298844330883867,1.44579584243102,372949.045195971,408732.190680338,0.364965544322877
5019,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1990,13919,0.913243680806427,-0.0272332659802255,26,0.18720411017861,0.284128200989886,0.218336426726921,0.250090784377017,0.213010409941898,74352,6,0.0560764049002428,0.3678695467299,0.18720411017861,NA,NA,NA,NA,0.4,-0.0272332659802255,0.0758398787842127,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.913243680806427,0.298844330883867,0.951769953941481,373272.090280986,408732.190680338,0.365281674171746
5020,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1991,22147,0.901583608381482,0.0496280939285439,25,0.297866903378524,0.18720411017861,0.284128200989886,0.218336426726921,0.250090784377017,74352,6,0.0560764049002428,0.3678695467299,0.297866903378524,NA,NA,NA,NA,0.4,0.0496280939285439,0.0759522984197935,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.901583608381482,0.298844330883867,1.5339794088872,368506.243335247,408732.190680338,0.360617846908702
5021,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1992,22778,0.88726147290013,0.0759083512244799,24,0.306353561437487,0.297866903378524,0.18720411017861,0.284128200989886,0.218336426726921,74352,6,0.0560764049002428,0.3678695467299,0.306353561437487,NA,NA,NA,NA,0.4,0.0759083512244799,0.0759741528440339,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.88726147290013,0.298844330883867,1.60315161324524,362652.325524733,408732.190680338,0.354889240473973
5022,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1993,25659,0.871243793476249,0.101080760628872,23,0.34510167850226,0.306353561437487,0.297866903378524,0.18720411017861,0.284128200989886,74352,6,0.0560764049002428,0.3678695467299,0.34510167850226,NA,NA,NA,NA,0.4,0.101080760628872,0.0759045760124233,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.871243793476249,0.298844330883867,1.83912251427757,356105.384324195,408732.190680338,0.348482445793352
5023,"Japan-97","Trouts nei single_stock","Salmo spp","Trouts nei",23,"Salmons, trouts, smelts","Medium",1994,30191,0.847770689651941,0.177907685988147,22,0.406054981708629,0.34510167850226,0.306353561437487,0.297866903378524,0.18720411017861,74352,6,0.0560764049002428,0.3678695467299,0.406054981708629,NA,NA,NA,NA,0.4,0.177907685988147,0.0759956417323128,"M6",6,TRUE,"Medium",1,"Japan-97",16013.6144642762,0.188005801001991,0.0391770510932682,1021874.67008127,0.121732376574237,0.317695540289201,0.196512747771647,0.847770689651941,0.298844330883867,2.22387172069752,346511.171176019,408732.190680338,0.339093610323525
